Título,Título_URL,Imagen,Nombre_Producto,Vendedor,Precio_Actual,Descuento,Precio_Anterior,Precio_Ref,Entrega,Retiro,Vista
GENERICO,https://www.falabella.com.co/falabella-co/product/135815637/Rizador-Ondas-De-Sirena/135815638,SIN IMAGEN,Rizador Ondas De Sirena,Por 3 Tiendas ,55.0,0%,,55.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/132244319/Media-Miracle-Socks-De-Compresion-Anti-Varices/132244320,SIN IMAGEN,Media Miracle Socks De Compresion Anti Varices,Por 3 Tiendas ,22.0,-45%,40.0,22.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
AFM,https://www.falabella.com.co/falabella-co/product/139966102/Perfumero-Recargable-5-Ml-X3/139966104,SIN IMAGEN,Perfumero Recargable 5 Ml X3,Por Afm Pets Sas ,22.9,0%,,22.9,Llega mañana,SIN INFORMACIÓN,SIN OPINIONES
MEGAPLEX,https://www.falabella.com.co/falabella-co/product/121442211/Bipro-Classic-X-2lb-Sin-Grasa-Sin-azucar-Adicionada-CHOCOLATE/121442212,SIN IMAGEN,Bipro Classic X 2lb - Sin Grasa - Sin azúcar Adicionada CHOCOLATE,Por Cmarket,136.7,-15%,159.9,136.7,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
INDOOR,https://www.falabella.com.co/falabella-co/product/122354770/TOBILLERA-INDOOR-10KG/122354771,SIN IMAGEN,TOBILLERA 10KG,Por Indoor,68.4,0%,,68.4,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
REMINGTON,https://www.falabella.com.co/falabella-co/product/122353760/Plancha-De-Cabello-En-Ceramica-Remington-Aguacate-Y-Macadamia-S9960/122353761,SIN IMAGEN,Plancha De Cabello En Ceramica Aguacate Y Macadamia S9960,Por Bet Supplier Sas ,199.9,-31%,289.9,199.9,Envío gratis,SIN INFORMACIÓN,234
REMINGTON,https://www.falabella.com.co/falabella-co/product/122355042/Plancha-De-Cabello-En-Ceramica-Remington-Frizz-Control-S8510/122355043,SIN IMAGEN,Plancha De Cabello En Ceramica Frizz Control S8510,Por Bet Supplier Sas ,219.9,-31%,319.9,219.9,Envío gratis,SIN INFORMACIÓN,19
GENERICO,https://www.falabella.com.co/falabella-co/product/129521677/Delineador-de-ojos-negro/129521680,SIN IMAGEN,Delineador de ojos negro,Por Bunny Makeup ,12.0,0%,,12.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/140258021/Masajeador-Facial-y-de-Cuello-LED-3-Colores-con-Terapia-Termica/140258022,SIN IMAGEN,Masajeador Facial y de Cuello LED 3 Colores con Terapia Térmica,Por Starcp Tech ,44.9,-20%,55.9,44.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/140322077/Bolsa-Termica-Conejito-Blanco-Agua-Caliente-Peluche-1Lt/140322078,SIN IMAGEN,Bolsa Térmica Conejito Blanco Agua Caliente Peluche 1Lt,Por Lx Store Colombia ,44.9,0%,,44.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
VICHY,https://www.falabella.com.co/falabella-co/product/18027014/Serum-Reparador-Vichy-Mineral-89-Fracciones-Probioticas-30ml/18027014?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_v6NZiwl-46z57itgHgSgCXbI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2yUHvDgOiPc5rpO_fuwZc8eom1uE51Yd20zbKMPkZxnzszt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUstVQi_fVLtL3q1rOxUTlMzw%253D%253D_ark196e4eb6f7d7833ee9%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Sérum Reparador Mineral 89 Fracciones Probióticas 30ml,Por Falabella,172.99,-25%,230.3,172.99,Llega mañana,Retira mañana,123
INFINITEK PARIS,https://www.falabella.com.co/falabella-co/product/133153261/Luxury-Lip-Balm/133153262?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_28j0I7Fucg1PLBUnNDhTDHbI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZRF07WCWpy_ozMoipul7XgiKr6dlmenxiWMxT1kL4QlDl-APhv50BKXbPCK0kv_dD8zt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUstVQi_fVLtL3q1rOxUTlMzw%253D%253D_ark196e4eb6f7d7833ee9%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Luxury Lip Balm,Por Infinitek Paris ,70.0,0%,,70.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
VGR,https://www.falabella.com.co/falabella-co/product/141451893/VGR-328-Afeitadora-Electrica-Hombre-Shaver-VGR-V-328-Impermeable/141451894,SIN IMAGEN,328 Afeitadora Eléctrica Hombre Shaver V-328 Impermeable,Por Galaxxia,88.9,13%,102.0,88.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/141451440/Plug-anal-en-Acero-Redondo-Talla-M-Color-Morado/141451441,SIN IMAGEN,Plug anal en Acero Redondo Talla M Color Morado,Por Open Love ,26.0,13%,30.0,26.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
PHYTO,https://www.falabella.com.co/falabella-co/product/72772739/Tinte-Phyto-Color-5.35-Castano-Claro-Dorado/72772739,SIN IMAGEN,Tinte Color 5.35 Castaño Claro Dorado,Por Falabella,89.99,0%,,89.99,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
LATTAFA,https://www.falabella.com.co/falabella-co/product/140261322/Perfume-Teriaq-Intense-Lattafa-100ML/140261324,SIN IMAGEN,Perfume Teriaq Intense 100ML,Por Amber Oud ,223.0,-44%,399.0,223.0,Envío gratis,Llega mañana,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/128714182/Vibrador-Hitachi-Ursula-Camtoyz/128714183,SIN IMAGEN,Vibrador Hitachi Ursula Camtoyz,Por Pleasure Boutique Sensual ,134.236,-27%,183.885,134.236,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/128714470/Sometedor-Esposas-BDSM-Amarre-Para-Cama-Juego-Erotico/128714471,SIN IMAGEN,Sometedor Esposas BDSM Amarre Para Cama Juego Erotico,Por Cero Tabuu ,39.9,11%,44.9,39.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/128714569/Vibrador-Rabbit-Remy-Azul-Camtoyz/128714570,SIN IMAGEN,Vibrador Rabbit Remy Azul Camtoyz,Por Pleasure Boutique Sensual ,125.948,-20%,157.435,125.948,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/128714575/Huevo-Masturbador-Masculino-Eggsy-Consolador-Flexible-Para-Pene-/128714576,SIN IMAGEN,Huevo Masturbador Masculino Eggsy Consolador Flexible Para Pene-,Por Cero Tabuu ,15.9,-20%,19.9,15.9,Llega mañana,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/128714800/Funda-Para-Dedos-Masturbador-Vaginal/128714801,SIN IMAGEN,Funda Para Dedos Masturbador Vaginal,Por Cero Tabuu ,7.9,0%,,7.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/128714861/Lubricante-Intimo-Sen-Intimo-Neutro-500ml/128714862,SIN IMAGEN,Lubricante Intimo Sen Intimo Neutro 500ml,Por Cero Tabuu ,49.9,-23%,64.9,49.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/128715038/Vibrador-Succionador-Clitoris-Recargable-Juguete-Sexual-Rosa-Premium/128715039,SIN IMAGEN,Vibrador Succionador Clitoris Recargable Juguete Sexual Rosa Premium,Por Cero Tabuu ,74.9,-25%,99.9,74.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/128715078/Vibrador-Consolador-Clitoris-Y-Punto-G-Juguete-Sexual-Gpoint/128715079,SIN IMAGEN,Vibrador Consolador Clítoris Y Punto G Juguete Sexual Gpoint,Por Cero Tabuu ,59.9,8%,64.9,59.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
FLAWLESS,https://www.falabella.com.co/falabella-co/product/133687183/Afeitadora-Electrica-Recargable-Usb-Hombre-Viajera-Portatil/133687184,SIN IMAGEN,Afeitadora Eléctrica Recargable Usb Hombre Viajera Portátil,Por Derocha Store ,39.9,0%,,39.9,Llega mañana,SIN INFORMACIÓN,SIN OPINIONES
DANKI,https://www.falabella.com.co/falabella-co/product/133687100/Bolsa-Termica-Almohada-Agua-Fria-Caliente-Alivia-Dolor-Astronauta-Vd-C/133687101,SIN IMAGEN,Bolsa Termica Almohada Agua Fria Caliente Alivia Dolor Astronauta Vd C,Por Vipxie.,28.9,-29%,40.9,28.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
KALINA COSMETICS,https://www.falabella.com.co/falabella-co/product/129435028/Spray-Cactus-Water/129435029,SIN IMAGEN,Spray Cactus Wáter,Por Kalina Cosmetics ,42.9,0%,,42.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/127302109/Proteina-Whey-Pure-Limpia-908g-SMART-NUTRITION/127302110,SIN IMAGEN,Proteína Whey Pure Limpia 908g SMART NUTRITION,Por Best Supps ,140.0,0%,,140.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
COMPRALOENCASA COM,https://www.falabella.com.co/falabella-co/product/127302233/Baston-Graduable-Aluminio-Portable-Antideslizante-Ergonomico-AN-02/127302234,SIN IMAGEN,Bastón Graduable Aluminio Portable Antideslizante Ergonómico AN-02,Por Compraloencasa,105.3,-19%,129.9,105.3,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/127303082/Prunex1-Fuxion-28-Sachets/127303083,SIN IMAGEN,Prunex1 Fuxion 28 Sachets,Por Best Supps ,125.5,0%,,125.5,SIN INFORMACIÓN,SIN INFORMACIÓN,1
GENERICO,https://www.falabella.com.co/falabella-co/product/127303472/QB-Maxx-60-Tabletas-Natural-Health/127303473,SIN IMAGEN,QB Maxx 60 Tabletas - Natural Health,Por Best Supps ,19.9,0%,,19.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/121717015/Plug-anal-silicona-Rojo-Talla-M-joya-redondo/121717016,SIN IMAGEN,Plug anal silicona Rojo Talla M joya redondo,Por Uniprol,28.0,0%,,28.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/121717066/Plug-anal-silicona-Rojo-Talla-S-joya-redondo/121717067,SIN IMAGEN,Plug anal silicona Rojo Talla S joya redondo,Por Uniprol,22.0,0%,,22.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/121716100/Plug-anal-silicona-Acostumbrador-Hansel-Morado/121716101,SIN IMAGEN,Plug anal silicona Acostumbrador Hansel Morado,Por Uniprol,14.0,0%,,14.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
MUSCLETECH,https://www.falabella.com.co/falabella-co/product/142932533/MassTech-Extreme-2000-x-12-lb-Vainilla-Muscletech/142932534,SIN IMAGEN,MassTech Extreme 2000 x 12 lb - Vainilla-,Por Tiendas Enforma ,388.8,-22%,500.0,388.8,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
MAC COSMETICS,https://www.falabella.com.co/falabella-co/product/73270406/Set-de-maquillaje-ojos-M%C2%B7A%C2%B7CStack-Starter-Pack-Duo-MAC-COSMETICS:-Incluye-2-productos/73270406,SIN IMAGEN,Set de maquillaje ojos M·A·CStack Starter Pack Duo MAC COSMETICS: Incluye 2 productos,Por Falabella,249.99,-31%,359.8,249.99,Llega mañana,Retira mañana,SIN OPINIONES
LOCCITANE,https://www.falabella.com.co/falabella-co/product/136120239/Crema-para-manos-de-Almendras-150ml/136120240?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_6Wu6vSZhBNu6kJcOPcffffVuhwVA9vktrFJiILAxRDg_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZWR-rwNv4jVjBbWgFfu85Wt-H60WQP0-YsC3bikct-_Yu7ogCNNXQb_tKLrQBKoXckwBTfXAe-ZR5AmYOfIOhznYK1Nt9dVN7L3Ei8OdI8UDtVQi_fVLtL3q1rOxUTlMzw%253D%253D_ark196e4eb6f7d7833ee9%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Crema para manos de Almendras 150ml,Por Provenzal Sas ,171.0,0%,,171.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
LOCCITANE,https://www.falabella.com.co/falabella-co/product/133078882/Crema-para-pies-de-Karite-150ml/133078883?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_6u-hxjvA4LN3H4cPbUggNXbI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZeqeFAAyGO0ofFrO0Lr464YH9eAfHOO2HEMTbSCNcG9aQ-GJogKSaUY6o2ZzUtKJS8zt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUstVQi_fVLtL3q1rOxUTlMzw%253D%253D_ark196e4eb6f7d7833ee9%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Crema para pies de Karité 150ml,Por Provenzal Sas ,159.0,0%,,159.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
BENEFIT,https://www.falabella.com.co/falabella-co/product/4081538/Tinta-Para-Labios-y-Mejillas-Gogotint-Benefit-6ml/4081538?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_4YVRo54nnXGzmKZWO3l7hMlmf1mX4HvUE2pmWHCWy3U_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZdqD5fb1f_2axBrU4ktUcEye1eI7FZD5RVme3g2u_3cccGJUeii8Gx0oqhnTQN4AQ-_sDDgT8X4G6brgZgcKgAcEf5Ftx8aIBJrf-jr2WKUlERFa135tRV-UnD1C1XGXyg%253D%253D_ark196e4ec6772785905c%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/4081538_1/width=240,height=240,quality=70,format=webp,fit=pad",Tinta Para Labios y Mejillas Gogotint 6ml,Por Falabella,124.99,0%,,124.99,Llega mañana,Retira mañana,113
LOCCITANE,https://www.falabella.com.co/falabella-co/product/133746739/Concentrado-de-leche-de-Almendras-200ml_./133746740?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_iqU-VjD89SrtMDdcATM7QHbI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZeqeFAAyGO0ofFrO0Lr464YrW77lO4a2uu1tynNore_EVe8jGxHsQe6I384Lw5sGD8zt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsERFa135tRV-UnD1C1XGXyg%253D%253D_ark196e4ec6772785905c%2522%252C%2522slot%2522%253A2%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/133746740_01/width=240,height=240,quality=70,format=webp,fit=pad",Concentrado de leche de Almendras 200ml_.,Por Provenzal Sas ,300.0,0%,,300.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/122877443/Protector-Solar-Sunglass-Gel-Spf-45-X-80g/122877444,"https://media.falabella.com.co/falabellaCO/122877444_01/width=240,height=240,quality=70,format=webp,fit=pad",Protector Solar Sunglass Gel Spf 45 X 80g,Por Locatel Colombia ,125.15,0%,,125.15,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
MASGLO,https://www.falabella.com.co/falabella-co/product/122879473/Dilusor-De-Esmalte-X60ml-Masglo/122879476,"https://media.falabella.com.co/falabellaCO/122879476_01/width=240,height=240,quality=70,format=webp,fit=pad",Dilusor De Esmalte X60ml,Por Locatel Colombia ,13.8,0%,,13.8,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
PHARMADERM,https://www.falabella.com.co/falabella-co/product/122879481/Laca-Unguento-Durex-Nail-X-10ml/122879484,"https://media.falabella.com.co/falabellaCO/122879484_01/width=240,height=240,quality=70,format=webp,fit=pad",Laca Unguento Durex Nail X 10ml,Por Locatel Colombia ,133.55,0%,,133.55,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
NATURALEZA Y VIDA,https://www.falabella.com.co/falabella-co/product/122877667/Shampoo-Natur-Vital-Blueberry-Silver-X-300ml/122877668,"https://media.falabella.com.co/falabellaCO/122877668_01/width=240,height=240,quality=70,format=webp,fit=pad",Shampoo Natur Vital Blueberry Silver X 300ml,Por Locatel Colombia ,18.8,-20%,23.55,18.8,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
WAHL,https://www.falabella.com.co/falabella-co/product/119564524/Cortadora-Profesional-Wahl-Legend-Con-Cable-5-Estrellas/119564527?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_VYN9oqJcULqz4T-Kbo-6IXbI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZeyQ1J_9Qw6f_Vxp_kXL6IibFGRP0tiJgcPRiiUV0XwsxnA86aXuetrQ2HYovj-X_czt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsERFa135tRV-UnD1C1XGXyg%253D%253D_ark196e4ec6772785905c%2522%252C%2522slot%2522%253A7%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/119564527_01/width=240,height=240,quality=70,format=webp,fit=pad",Cortadora Profesional Legend Con Cable 5 Estrellas,Por Strong Machine ,474.0,0%,,474.0,Envío gratis,SIN INFORMACIÓN,1
INFINITEK PARIS,https://www.falabella.com.co/falabella-co/product/134249571/Kit-Elemental/134249572?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_uRyZldZhX1iO6k6VRiQck3bI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2zT6-f_J64EBJi6bC_CjhlZ6EYhPSAmN3TSfw7_3KTEC8zt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsERFa135tRV-UnD1C1XGXyg%253D%253D_ark196e4ec6772785905c%2522%252C%2522slot%2522%253A8%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/134249572_01/width=240,height=240,quality=70,format=webp,fit=pad",Kit Elemental,Por Infinitek Paris ,421.0,0%,,421.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
MAX FACTOR,https://www.falabella.com.co/falabella-co/product/122880017/Lapiz-Delineador-Ojos-Cafe-X-4gr-Kohl-Max-Factor/122880018,SIN IMAGEN,Lapiz Delineador Ojos Cafe X 4gr Kohl,Por Locatel Colombia ,40.8,0%,,40.8,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/121295066/Tensiometro-De-Brazo-Automatico-Alta-Precision-Digital-Con-Voz/121295067,SIN IMAGEN,Tensiometro De Brazo Automático Alta Precisión Digital Con Voz,Por Mega Accesorios ,49.88,-60%,125.0,49.88,SIN INFORMACIÓN,SIN INFORMACIÓN,3
ELIXIR,https://www.falabella.com.co/falabella-co/product/121295160/Aceite-para-masajes-fragancia-rosas-30-Ml/121295161,SIN IMAGEN,Aceite para masajes fragancia rosas 30 Ml,Por Uniprol,17.0,0%,,17.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
ELIXIR,https://www.falabella.com.co/falabella-co/product/121295166/Aceite-para-masajes-fragancia-Coco-30-Ml/121295167,SIN IMAGEN,Aceite para masajes fragancia Coco 30 Ml,Por Uniprol,17.0,0%,,17.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/118198863/Colageno-Biotina-BESPHARMA/118198864,SIN IMAGEN,Colágeno Biotina BESPHARMA,Por Bespharma,34.0,0%,,34.0,SIN INFORMACIÓN,SIN INFORMACIÓN,4
GENERICO,https://www.falabella.com.co/falabella-co/product/125047395/SEDA-DENTAL-ECOLOGICA-DE-BAMBU/125047396,SIN IMAGEN,SEDA DENTAL ECOLÓGICA DE BAMBÚ,Por Linea Eco Tienda De Productos Ecologicos ,15.0,0%,,15.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
CEPILLO,https://www.falabella.com.co/falabella-co/product/138206795/Cepillo-Rizador/138206796,SIN IMAGEN,Cepillo Rizador,Por Homecenter,459.9,0%,,459.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
SECADOR,https://www.falabella.com.co/falabella-co/product/138206967/Secador-de-Pelo-Ionico-Con-Difusor-para-Cabello/138206968,SIN IMAGEN,Secador de Pelo Iónico Con Difusor para Cabello,Por Homecenter,369.9,0%,,369.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
SECADOR,https://www.falabella.com.co/falabella-co/product/138207291/Secador-de-Pelo-Con-Difusor-para-Cabello-Rizado/138207292,SIN IMAGEN,Secador de Pelo Con Difusor para Cabello Rizado,Por Homecenter,,0%,,,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/125038600/Lip-Glow-AHU-Cosmetics/125038603,SIN IMAGEN,Lip Glow AHU Cosmetics,Por Ahu Cosmetics ,60.0,0%,,60.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
CATRICE,https://www.falabella.com.co/falabella-co/product/132467364/Iluminador-Catrice-More-Than-Glow-Tono-020-59gr/132467367,SIN IMAGEN,Iluminador More Than Glow Tono 020 59gr,Por Prebel,23.5,0%,,23.5,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
CATRICE,https://www.falabella.com.co/falabella-co/product/132467338/Spray-Catrice-Fijador-Ultra-Last2-18h-50ml/132467339,SIN IMAGEN,Spray Fijador Ultra Last2 18h 50ml,Por Prebel,34.5,0%,,34.5,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
MAX FACTOR,https://www.falabella.com.co/falabella-co/product/132467403/Base-Max-Factor-Lasting-Performance/132467404,SIN IMAGEN,Base Lasting Performance,Por Prebel,78.5,0%,,78.5,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
COVERGIRL,https://www.falabella.com.co/falabella-co/product/132467451/Primer-Covergirl-Trublend-Pore-Minimazing-30-Ml/132467452,SIN IMAGEN,Primer Trublend Pore Minimazing 30 Ml,Por Prebel,26.45,-50%,52.9,26.45,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
CATRICE,https://www.falabella.com.co/falabella-co/product/132467477/Corrector-Catrice-Liquid-Camouflage/132467478,SIN IMAGEN,Corrector Liquid Camouflage,Por Prebel,21.9,0%,,21.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
ESSENCE,https://www.falabella.com.co/falabella-co/product/132467550/Polvo-Essence-Last-16h/132467551,SIN IMAGEN,Polvo & Last 16h,Por Prebel,25.5,0%,,25.5,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
